category_id,global_index,category_name,dl_idx,total_count,num_datasets,top_datasets
1900,0,보령부스파정 5mg,1900,15,1,train_annotations(15)
2483,1,뮤테란캡슐 100mg,2483,9,1,train_annotations(9)
3351,2,일양하이트린정 2mg,3351,153,1,train_annotations(153)
3483,3,기넥신에프정(은행엽엑스)(수출용),3483,45,1,train_annotations(45)
3544,4,무코스타정(레바미피드)(비매품),3544,6,1,train_annotations(6)
3743,5,알드린정,3743,3,1,train_annotations(3)
3832,6,뉴로메드정(옥시라세탐),3832,20,1,train_annotations(20)
4543,7,에어탈정(아세클로페낙),4543,5,1,train_annotations(5)
12081,8,리렉스펜정 300mg/PTP,12081,3,1,train_annotations(3)
12247,9,아빌리파이정 10mg,12247,3,1,train_annotations(3)
12778,10,다보타민큐정 10mg/병,12778,6,1,train_annotations(6)
13395,11,써스펜8시간이알서방정 650mg,13395,3,1,train_annotations(3)
13900,12,에빅사정(메만틴염산염)(비매품),13900,15,1,train_annotations(15)
16232,13,리피토정 20mg,16232,21,1,train_annotations(21)
16262,14,크레스토정 20mg,16262,23,1,train_annotations(23)
16548,15,가바토파정 100mg,16548,18,1,train_annotations(18)
16551,16,동아가바펜틴정 800mg,16551,3,1,train_annotations(3)
16688,17,오마코연질캡슐(오메가-3-산에틸에스테르90),16688,8,1,train_annotations(8)
18147,18,리리카캡슐 150mg,18147,15,1,train_annotations(15)
18357,19,종근당글리아티린연질캡슐(콜린알포세레이트) ,18357,13,1,train_annotations(13)
19232,20,콜리네이트연질캡슐 400mg,19232,17,1,train_annotations(17)
19552,21,트루비타정 60mg/병,19552,3,1,train_annotations(3)
19607,22,스토가정 10mg,19607,6,1,train_annotations(6)
19861,23,노바스크정 5mg,19861,6,1,train_annotations(6)
20014,24,마도파정,20014,16,1,train_annotations(16)
20238,25,플라빅스정 75mg,20238,20,1,train_annotations(20)
20877,26,엑스포지정 5/160mg,20877,12,1,train_annotations(12)
21325,27,아토르바정 10mg,21325,22,1,train_annotations(22)
21771,28,라비에트정 20mg,21771,3,1,train_annotations(3)
22074,29,리피로우정 20mg,22074,16,1,train_annotations(16)
22347,30,자누비아정 50mg,22347,9,1,train_annotations(9)
22362,31,맥시부펜이알정 300mg,22362,3,1,train_annotations(3)
24850,32,놀텍정 10mg,24850,3,1,train_annotations(3)
25367,33,자누메트정 50/850mg,25367,12,1,train_annotations(12)
25438,34,큐시드정 31.5mg/PTP,25438,6,1,train_annotations(6)
25469,35,아모잘탄정 5/100mg,25469,12,1,train_annotations(12)
27733,36,트윈스타정 40/5mg,27733,12,1,train_annotations(12)
27777,37,카나브정 60mg,27777,3,1,train_annotations(3)
27926,38,울트라셋이알서방정,27926,3,1,train_annotations(3)
27993,39,졸로푸트정 100mg,27993,3,1,train_annotations(3)
28763,40,트라젠타정(리나글립틴),28763,9,1,train_annotations(9)
29345,41,비모보정 500/20mg,29345,6,1,train_annotations(6)
29451,42,레일라정,29451,3,1,train_annotations(3)
29667,43,리바로정 4mg,29667,18,1,train_annotations(18)
30308,44,트라젠타듀오정 2.5/850mg,30308,9,1,train_annotations(9)
31863,45,아질렉트정(라사길린메실산염),31863,12,1,train_annotations(12)
31885,46,자누메트엑스알서방정 100/1000mg,31885,3,1,train_annotations(3)
32310,47,글리아타민연질캡슐,32310,14,1,train_annotations(14)
33009,48,신바로정,33009,3,1,train_annotations(3)
33208,49,에스원엠프정 20mg,33208,3,1,train_annotations(3)
33880,50,글리틴정(콜린알포세레이트),33880,16,1,train_annotations(16)
34597,51,제미메트서방정 50/1000mg,34597,3,1,train_annotations(3)
35206,52,아토젯정 10/40mg,35206,37,1,train_annotations(37)
36637,53,로수젯정10/5밀리그램,36637,19,1,train_annotations(19)
38162,54,로수바미브정 10/20mg,38162,18,1,train_annotations(18)
41768,55,카발린캡슐 25mg,41768,16,1,train_annotations(16)
